G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,Lsolu_Hsolv,Lsolv_Hsolu
-27386.0295,108.4003,306.958,2.51648,0,1.2683,-0.49662,0.40835,-1.94254,241.3536,504.5178833,12.113,15.231
-19847.028,72.8581,160.798,0.0305082,0,0.00608,-0.12934,0.04961,0,100.2034,307.255127,15.604,17.101
-22909.238,13.9833,225.266,0.00662821,0,-0.26705,-0.13063,0.06129,0,140.268,428.4981995,13.418,15.521
-25817.6954,-0.488,284.253,8.45737,-0.67305,0.57674,-0.43624,0.43353,-1.07431,231.2938,459.4943542,11.401,13.93
-24567.4022,-157.2692,239.811,6.06671,-1.89073,-0.78833,-0.77352,1.94471,-0.01679,249.3172,399.8743896,10.227,15.07
-34057.2547,-380.2083,492.929,7.38697,-2.12548,0.95057,-0.43345,0.37422,-2.39142,434.5037,654.8651123,11.757,15.622
-24092.8031,89.9817,205.369,7.78502,-1.0761,0.17791,-0.3958,0.52747,-0.9243,182.1786,378.9792175,10.965,14.082
-26477.5673,265.807,283.361,2.37698,-1.24648,0.95732,-0.49218,0.50585,-1.94466,236.27,484.9683228,12.27,14.564
-30635.2019,-225.0286,386.307,11.4632,-2.0243,0.33771,-0.79267,1.91885,-1.63746,365.8337,560.8483887,10.599,14.915
-30767.0344,-256.2102,341.373,5.68601,-1.24108,0.35892,-0.61697,1.11115,-0.91537,298.2959,555.7894287,10.2,15.02
-28253.0291,151.3897,350.636,2.67297,0,0.57579,-0.41222,0.16932,-1.04977,296.5214,531.8052979,10.912,14.406
-26559.9897,46.2076,290.595,1.17941,-1.55421,1.23805,-0.44063,0.43688,-1.98127,249.2658,479.6381226,11.709,15.21
-20366.6057,114.5208,153.533,2.47574,-0.32522,-0.21197,-0.32522,0.08016,-0.32522,120.1506,303.1288757,12.296,14.96
-20064.3344,-23.3467,142.881,3.72086,-1.1177,0.56669,-0.43928,0.39744,-1.45725,119.12,283.2250671,13.094,16.144
-26651.6881,-0.6037,271.151,6.61163,-0.49011,0.98042,-0.49011,0.43191,-1.58201,209.2906,473.5541382,11.968,14.304
-28628.9398,-55.2158,367.7,3.71716,-0.68836,-0.40006,-0.35907,0.23292,-0.68836,296.4084,515.0608521,12.219,14.772
-26298.2598,-3.9895,259.282,7.80162,-3.39563,-1.09796,-0.77894,1.94644,0.11394,281.316,422.8489685,10.055,15.921
-23419.0402,72.9441,223.796,6.87688,-0.50872,0.81049,-0.50872,0.50897,-1.41795,198.6517,399.4962158,12.029,14.529
-18348.4091,114.2926,105.942,3.53859,-0.31677,0.21127,-0.31677,0.14204,-0.55117,92.5249,240.6867828,12.812,16.989
-20789.1165,13.4644,153.947,2.93788,-0.8551,0.69107,-0.52706,0.50646,-1.21371,117.1474,311.8646545,13.779,16.351
-25988.223,121.0518,268.143,8.05095,-1.41003,0.41979,-0.38207,0.52672,-0.88331,235.239,431.7964783,10.609,15.89
-29761.5679,75.9945,371.32,1.76096,-0.39428,-0.07923,-0.39428,0.21248,-0.39428,242.444,640.3154297,15.477,16.604
-25731.8173,-93.0806,266.599,2.09808,0,-0.26261,-0.12006,0.09371,-0.32832,257.5463,431.1148071,11.399,14.816
-27532.3962,-46.7214,310.759,7.00315,-0.50916,0.86112,-0.50916,0.50819,-1.48545,275.1772,504.134613,11.714,14.78
-19857.221,-25.5669,132.807,2.19534,-0.32262,-0.17991,-0.38367,0.2206,-0.70629,109.1274,276.9963989,12.388,13.876
-30619.665,73.1216,386.826,4.69901,-0.86292,1.01905,-0.40701,0.46718,-1.41723,345.2248,590.1415405,11.322,14.963
-27924.1003,159.8475,308.901,5.05183,-2.23125,-0.47771,-0.77917,1.94413,-0.57648,297.3432,501.5142517,10.444,14.761
-24594.9717,392.4624,223.789,2.54589,-0.76237,0.66767,-0.50323,0.50569,-1.14962,179.2182,414.4380188,12.1,15.015
-28677.1596,-32.4723,345.944,2.94846,0,-0.17299,-0.1168,0.24639,-0.57303,354.4901,499.493042,11.231,15.227
-27259.5009,-170.3836,289.684,8.74417,-1.66577,-0.062,-0.77277,1.92033,-1.01771,267.302,482.2610779,10.423,14.455
-21991.7677,-498.7538,161.396,4.4411,-0.7715,-0.05807,-0.38575,0.52555,-0.34069,157.5561,305.4895935,10.735,15.705
-28637.5219,-6.2864,335.582,5.8658,-2.31913,0.33178,-0.78568,1.89705,-1.14437,285.3574,490.5489502,10.495,15.589
-30144.0734,-20.7718,380.038,8.21349,-1.74305,1.26244,-0.38088,0.32793,-1.83461,352.7707,570.1123657,11.21,14.986
-20627.5763,-66.0255,138.155,4.38139,-0.36526,0.27987,-0.36526,0.21856,-0.81329,128.9858,271.3773193,12.642,17.012
-19424.7469,-0.1754,153.189,1.88435,-0.38032,0.11739,-0.38032,0.2066,-0.38032,102.176,291.6720581,15.415,16.567
-20109.4886,-43.9572,141.08,2.21323,-0.48742,0.3948,-0.48742,0.43112,-1.17782,122.1262,288.7565308,11.656,15.456
-29902.5873,263.6522,416.699,3.74451,-1.12681,0.45094,-0.44295,0.3684,-1.12681,330.4662,554.5235596,11.863,15.542
-23280.3357,-2.7037,237.104,0.144136,0,-0.60306,-0.09439,0.0758,0,192.2598,397.0338745,11.527,14.001
-26186.1154,634.2917,280.647,8.85804,-1.18863,0.85825,-0.47797,0.46955,-1.63408,261.2521,436.6315002,11.412,14.423
-26709.4704,395.9113,284.361,5.50555,-0.79469,0.4862,-0.48269,0.36472,-1.40494,232.2816,483.4728394,12.156,13.86
-25350.8889,10.7975,256.784,4.74615,-0.81309,1.14969,-0.5169,0.5083,-1.70848,228.6779,444.2149048,11.988,14.341
-21218.4165,294.4614,206.564,3.28398,-0.3388,0.09352,-0.3388,0.27345,-0.3388,152.2358,338.0643311,12.786,15.994
-20863.3055,-5.0694,211.631,1.74066,-0.37184,0.03289,-0.37184,0.20716,-0.37184,154.2516,340.9176636,15.14,16.473
-32235.3306,-251.188,374.448,2.67758,0,0.262,-0.0668,0.11006,-0.48172,429.7718,521.6300659,10.771,15.561
-26536.7923,-57.7623,285.144,9.71288,-1.56336,0.1303,-0.7849,1.91527,-1.35197,264.3014,476.6925049,10.608,14.409
-31611.7519,446.3877,428.581,4.31858,-1.1917,1.39524,-0.47642,0.46912,-2.79827,392.4046,584.5751343,11.161,14.186
-29044.6407,190.5951,383.895,1.77274,-1.32001,0.91701,-0.39161,0.31194,-1.69988,331.4108,552.9794312,12.226,14.161
-22280.1857,-151.0158,182.506,8.78266,-1.60555,-0.43795,-0.80504,1.90613,-0.75543,172.2014,343.5537109,10.858,14.435
-24403.9673,31.5166,257.595,8.47413,-0.80955,0.50554,-0.40779,0.42945,-1.17874,217.267,427.0641174,11.799,15.218
-24632.4991,-201.5958,272.344,4.96871,-0.51432,0.06515,-0.51432,0.50598,-1.1907,236.2726,439.9343567,11.973,14.5
-35582.2284,-49.5348,560.301,5.36806,-2.11857,0.91598,-0.41507,0.37358,-2.11857,460.6094,727.8582153,12.019,15.494
-26761.4893,126.8051,292.907,2.01084,-1.23134,1.07297,-0.47028,0.43552,-1.66726,235.2822,486.0928955,11.736,15.201
-33208.6488,792.647,384.604,0.00491409,-0.34241,0.7095,-0.17123,0.11082,-0.70951,459.7548,518.993042,10.586,14.834
-20015.3963,3.3474,152.81,1.77718,-0.36972,0.08901,-0.36972,0.20662,-0.36972,102.176,298.6975403,15.477,16.468
-28540.4745,-96.673,380.516,7.7167,-0.91184,0.92919,-0.46112,0.39336,-1.74127,312.4108,546.2084961,12.219,15.018
-17440.1769,30.2446,82.9983,3.45366,0,0.07428,-0.18589,0.07725,-0.18589,55.0792,217.0012817,13.9,18.135
-18464.3228,33.7871,119.884,4.48727,-0.47706,0.80203,-0.47706,0.36796,-0.91421,87.1212,264.636322,13.454,15.661
-23251.5592,-78.3029,194.358,3.38662,0,0.07121,-0.07549,0.10479,-0.28047,215.8938,327.7150574,11.238,15.606
-26307.7454,-5.3037,326.246,0.145438,0,-0.94068,-0.05955,0.06938,0,278.3526,495.5426636,11.202,13.7
-27753.1552,52.5519,382.626,4.18987,-0.73706,0.00087,-0.37218,0.29783,-0.73706,302.4558,504.6696472,11.98,15.625
-18738.8882,21.2638,113.116,2.4038,-0.32457,0.0421,-0.32457,0.24143,-0.64473,95.1006,249.2917633,12.137,15.36
-27185.3713,-14.4224,292.728,5.62711,-0.69827,0.80478,-0.47885,0.51482,-1.40451,245.2804,492.2848816,11.86,14.589
-24912.8652,675.9772,210.976,5.32047,-2.26311,0.68275,-0.73711,2.02126,-1.53749,196.2208,405.4348145,10.142,17.251
-23108.2085,-45.2976,227.151,0.0979119,0,-0.52273,-0.1001,0.0855,0,180.2488,389.6563416,11.75,14.274
-18432.3557,19.2427,107.202,0.956247,0,0.16124,-0.2298,0.11768,-0.39181,89.5243,242.634552,12.778,17.844
-25421.721,2.2227,293.702,0.0944579,0,-0.7386,-0.09682,0.07655,0,242.3196,453.4184265,11.221,13.677
-27420.9845,-129.2369,295.767,10.2564,-1.85649,0.31849,-0.78491,1.91561,-1.58137,280.3008,491.038208,10.61,14.41
-19973.1011,-4.9258,133.73,8.79232,-0.72611,0.64939,-0.41943,0.37253,-1.2824,128.0902,272.2751465,12.107,16.87
-22822.2999,90.1506,242.92,1.0778,0,-0.67798,-0.09036,0.07454,0,202.255,398.3213806,10.897,13.986
-22687.0332,-80.6528,201.085,5.70323,-1.79271,0.78712,-0.4171,0.37605,-1.79271,186.164,342.9440613,12.861,16.883
-23633.3689,-10.0364,240.242,0.0537749,0,-0.60471,-0.10968,0.07669,0,192.2598,409.2254028,11.126,13.462
-24472.0764,-3.478,261.711,0.0442956,0,-0.72055,-0.09921,0.08709,0,216.2818,431.3045959,11.465,13.917
-25522.5138,107.0407,297.522,0.355459,0,-0.81203,-0.07714,0.07153,0,252.3148,462.9644775,11.025,13.63
-31722.835,-201.2128,403.851,12.287,-3.07985,0.02999,-0.77708,1.90856,-1.69633,421.4085,595.7062378,10.265,15.009
-26600.9989,56.7214,275.235,2.54135,-0.75882,0.52524,-0.50215,0.50148,-1.20392,225.305,475.9816589,11.945,15.097
-26562.0196,193.2799,275.167,3.77424,0,1.6966,-0.46872,0.42157,-2.10816,229.7119,471.7125244,11.907,15.243
-22091.5711,11.6037,208.018,0.0115441,0,0.00909,-0.14308,0.05559,0,128.257,368.6878662,15.542,16.971
-19638.4081,3.189,136.574,2.70442,0,-0.29985,-0.32046,0.2154,-0.49328,108.1426,285.6184692,12.545,13.65
-37046.6869,27.1605,577.321,0.000194806,0,-0.4088,-0.03129,0.02765,0,366.7126,951.7295532,15.49,16.486
-21872.3075,-160.5968,182.346,3.06566,-0.74678,0.4235,-0.43308,0.39033,-1.60977,155.156,325.6269531,12.902,14.798
-18309.3401,199.1407,107.402,4.76456,-0.47161,0.44583,-0.47161,0.37086,-0.87283,85.1054,248.3931122,13.486,15.887
-23232.4062,-246.5161,217.423,0.0400513,0,-0.17927,-0.06801,0.02764,0,140.268,397.4005127,15.506,16.873
-19210.6026,0.7191,138.352,1.8212,-0.38359,0.01329,-0.38359,0.21038,-0.38359,100.1602,280.6763,15.42,16.612
-25896.6935,-20.2463,263.182,3.82882,-1.07705,0.4608,-0.44202,0.44017,-1.48397,250.2012,426.2732239,11.412,14.735
-19473.0528,99.1217,145.638,2.52351,0,0.04142,-0.31468,0.09345,-0.31468,107.1548,295.6008911,12.121,15.106
-19034.5116,72.6768,111.603,4.59283,-0.49497,0.07371,-0.39348,0.37711,-0.49497,96.0854,251.094162,11.768,15.011
-28491.6552,563.3401,322.651,5.80538,-2.56058,-0.31628,-0.78868,1.78842,-0.88397,308.3082,519.1553955,10.32,14.806
-29343.915,42.6474,364.306,3.76106,-0.60913,0.2386,-0.30484,0.24671,-0.9723,345.6523,550.27948,11.319,14.558
-19121.9644,-13.7222,106.894,8.18413,-0.71485,0.37858,-0.47466,0.63942,-1.22504,104.0682,245.2675476,11.529,15.284
-19374.2175,1.8428,152.585,1.82548,-0.37141,0.10931,-0.37141,0.20763,-0.37141,102.176,293.6345825,15.444,16.503
-25712.1283,125.1064,262.808,3.25783,-0.76249,1.01334,-0.50321,0.50588,-1.48923,208.2596,449.6387634,11.976,14.925
-31665.7189,-410.1788,420.293,2.4604,-1.09772,0.2641,-0.42944,0.36183,-1.09772,340.4614,579.336731,12.019,15.495
-22084.5678,-153.6569,182.025,6.20352,-1.81744,0.55394,-0.378,0.21723,-1.81744,164.1578,320.2976379,15.048,16.524
-32834.5252,-120.7184,385.218,7.75324,-1.41069,1.07412,-0.54797,0.76246,-1.67355,367.8016,565.5169678,9.302,14.937
-30246.8244,-27.8151,375.323,2.01132,-0.76616,0.16463,-0.44751,0.3852,-0.76616,256.4276,643.2553711,13.18,16.622
-28265.3732,-95.6323,323.663,7.02108,-2.69701,0.26421,-0.81266,1.79035,-0.90666,286.3422,524.5583496,10.536,14.926
-28563.0403,-122.1543,310.61,2.0893,0,-0.03444,-0.09487,0.10394,-0.44289,326.4365,471.3568726,11.075,15.069
-21404.7484,3.9094,175.696,3.36996,-1.09752,0.19123,-0.4338,0.36308,-1.09752,152.1494,330.9116211,12.157,15.145
-24005.1715,36.3073,214.869,2.48807,0,-0.30005,-0.2174,0.07279,-0.18718,185.243,378.7547302,10.944,13.671
-24178.1169,70.295,235.415,4.16382,-0.58656,0.02337,-0.46151,0.45335,-0.909,201.2244,415.3181763,12.112,14.457
-23951.7186,-968.8947,196.43,0.00309177,0,0.07647,-0.07408,0.1099,-0.29613,215.8938,332.5701599,11.128,15.583
-29669.7644,-127.2989,305.084,4.71129,-1.23475,0.60503,-0.60689,1.06591,-0.97828,321.5422,471.4962158,9.902,15.115
-19835.9401,-15.5149,132.209,1.64714,-0.77408,0.48984,-0.45068,0.42437,-0.77408,100.117,288.3949585,12.261,16.071
-19444.8693,-46.5025,140.25,2.33152,0,0.31937,-0.37072,0.13513,-0.72472,100.1632,278.4187622,15.099,15.364
-19157.2066,62.1763,109.318,2.87509,-0.8583,0.69961,-0.5267,0.50668,-1.21721,89.0938,257.760376,13.781,16.349
-25692.6807,126.2036,272.416,5.12951,-1.52266,1.24822,-0.43944,0.43804,-1.90283,235.239,458.7335205,11.702,15.212
-22016.2122,18.8196,203.131,0.01067,0,-0.24878,-0.13074,0.06129,0,126.2412,391.3174438,13.418,15.521
-25576.0398,-262.9525,244.827,4.92916,-0.51411,0.89566,-0.51411,0.50785,-1.41911,212.6785,424.4339905,12.011,14.598
-26912.8058,-34.5039,261.321,5.12438,-2.21744,0.34629,-0.77034,1.38225,-0.83519,210.2095,463.5078125,10.905,17.004
-19842.5051,4.269,145.351,2.55882,0,0.00195,-0.29912,0.09088,-0.29912,107.1548,298.2058105,12.172,15.168
-23409.0047,30.2828,238.158,0.127916,0,-0.60034,-0.11074,0.07764,0,192.2598,403.2672424,11.556,14.01
-19917.8627,2743.5255,117.164,5.22389,-0.7696,0.57649,-0.42721,0.41633,-0.7696,88.106,266.1540527,13.28,16.921
-23591.1359,18.6844,223.259,5.06916,-0.74307,0.74447,-0.43251,0.34949,-1.44399,181.1938,397.626709,12.93,15.745
-28250.9804,-1047.0051,307.358,2.10575,-1.20816,0.32753,-0.43533,0.52823,-1.3164,281.2702,484.7434692,10.715,15.024
-24247.7838,-1634.5046,201.959,7.24786,-0.43348,0.6063,-0.46512,0.40761,-1.36544,170.2288,360.8569336,11.443,14.522
-18918.8363,-8.0547,134.565,1.67035,-0.38703,0.22028,-0.38703,0.20962,-0.38703,88.1492,274.461792,15.568,16.741
-26839.1646,-0.3771,248.807,8.34288,-2.59305,1.0924,-0.73797,1.37801,-1.61716,223.1651,431.7197876,10.435,15.665
-23295.7981,449.523,218.059,3.34373,0,0.06354,-0.28048,0.07231,-0.56039,172.2292,379.7961121,11.551,14.55
-24762.1108,-378.3487,244.103,1.36249,0,-0.38611,-0.12085,0.08135,-0.24168,223.1012,408.7530212,11.636,14.687
-18401.2097,-315.7989,110.902,2.41205,-0.81301,0.67527,-0.40668,0.38434,-1.15578,99.089,252.2284851,12.455,16.674
-30236.8615,55.9785,321.364,4.51923,-1.23651,0.43055,-0.60616,1.0668,-0.7976,412.9937,484.1624146,9.898,15.108
-26929.7818,323.6221,299.603,4.74659,-1.07766,0.36369,-0.40742,0.36181,-1.18962,274.7031,471.4883118,11.303,14.564
-25807.6179,-48.1909,268.72,6.19978,-0.42503,-0.22832,-0.42503,0.40592,-0.65756,323.1326,454.1054382,11.586,14.487
-21116.773,29.2561,184.189,4.45616,-0.44654,0.28138,-0.44654,0.36476,-0.7932,149.192,350.3041687,12.325,14.339
-22872.4609,-311.769,188.079,6.77514,-1.59062,-0.43683,-0.79738,1.9031,-0.38163,171.2136,352.6403198,10.711,15.401
-26830.3243,12.5099,330.612,3.36593,-1.18065,0.51892,-0.45866,0.34943,-1.5596,263.3358,515.0195313,12.378,14.941
-23796.447,62.6458,236.878,0.0480832,0,-0.407,-0.10035,0.06431,0,162.2742,431.4335632,12.444,14.886
-26472.836,-13.8517,266.13,1.64408,-0.98417,-0.38023,-0.32943,0.23242,-0.98417,228.247,455.6004639,11.48,14.031
-20801.3247,47.5558,147.973,3.45263,-1.53067,0.77592,-0.45601,0.44409,-1.53067,130.1,289.5830994,12.126,16.089
-16445.7893,-18.9548,79.7311,2.46838,-0.78008,0.32977,-0.39009,0.21318,-0.78008,62.0682,212.9897308,15.714,16.818
-23454.4834,39.3914,257.266,0.00354834,0,-0.43665,-0.08226,0.06467,0,208.3024,417.2818298,11.564,14.019
-35019.6269,-369.3892,422.893,9.3761,-2.91785,1.53328,-0.76333,1.92173,-2.51527,414.8197,591.0168457,10.422,15.37
-29521.771,51.9908,355.246,4.02287,-1.45514,0.97122,-0.41968,0.42873,-1.45514,278.3474,528.6466675,11.425,15.423
-21479.2526,19.1297,174.043,5.04523,-0.51995,0.27171,-0.51995,0.51148,-1.35834,151.1676,343.3278198,12.373,14.439
