G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,Lsolu_Hsolv,Lsolv_Hsolu
-21701.1004,1192.0051,162.73,4.52321,-1.77497,1.26482,-0.43309,0.50939,-1.9613,173.0848,310.5214844,10.758,17.2
-27724.24,-526.5967,308.963,5.96856,-0.77653,0.42313,-0.42737,0.3702,-1.54739,286.7171,483.7244263,11.343,14.972
-27400.5354,309.4812,289.732,7.57849,-2.04215,0.19798,-0.77509,1.9108,-1.17459,256.319,494.6982117,10.402,15.38
-22661.5791,77.557,174.622,7.72468,-1.53525,0.35871,-0.44578,0.52816,-1.00709,167.1208,326.756073,10.828,15.731
-31796.5781,70.7894,432.915,1.65558,-0.73668,0.21825,-0.37791,0.31476,-1.32262,355.4513,645.319397,11.444,14.92
-27135.4562,107.1125,294.375,11.6413,-2.04428,0.44937,-0.79218,1.91795,-1.69378,289.7361,468.5610657,10.577,14.961
-28056.4341,-59.924,327.756,3.29109,0,-0.21757,-0.17987,0.20188,-0.59582,320.045,497.0978699,11.845,15.132
-27196.4184,-265.2876,275.477,7.31788,-1.67284,1.33018,-0.54591,0.73221,-1.82208,257.2589,452.1102905,9.465,14.928
-26885.5799,189.1935,287.073,10.115,-2.2836,-0.21647,-0.79526,1.71212,-0.88082,267.299,464.4553833,10.289,14.475
-19380.7182,20.6824,133.446,1.7561,-0.39429,0.12218,-0.39429,0.21247,-0.39429,88.1492,294.401123,15.577,16.816
-22306.0506,-12.1209,225.644,6.93289,-0.50693,0.48336,-0.50693,0.39313,-1.13055,190.2444,372.1828003,11.895,14.259
-22044.2512,-4.3602,190.141,2.45841,0,-0.42789,-0.08167,0.08071,-0.08167,207.0693,342.4750671,11.526,14.253
-26204.6551,38.6536,266.609,9.21725,-3.45938,-1.19151,-0.78214,1.94553,-0.00337,283.3318,426.3872681,10.146,15.824
-29127.7644,-428.7854,308.903,3.92495,0,0.83779,-0.50358,0.40166,-1.8915,252.3366,521.8492432,12.843,14.711
-19031.0573,16.4777,134.061,1.8231,-0.3808,0.07136,-0.3808,0.20834,-0.3808,88.1492,285.1423645,15.534,16.509
-25379.2169,-221.5583,214.657,4.88238,-2.2233,1.16556,-0.44259,0.43945,-2.2233,210.1428,367.5466919,10.944,15.624
-26137.0864,-485.5475,235.695,6.8592,-1.45757,-0.39512,-0.72882,1.89866,0.00966,240.1038,393.8843079,9.001,15.515
-25912.4089,-12.9089,313.829,0.135714,0,-0.69625,-0.0708,0.07299,0,256.3464,471.7829895,11.15,13.635
-23509.084,-17.2429,230.24,1.79715,-0.32117,-0.52156,-0.32117,0.23511,-0.32117,194.2324,382.6009216,11.062,13.419
-32116.9702,572.208,411.622,12.0976,-2.32875,1.75937,-0.46691,0.48001,-3.43715,376.3682,598.2529907,10.355,14.68
-19853.4077,7.106,151.022,5.1769,-0.53111,1.35913,-0.53111,0.51376,-1.43565,116.1626,310.6023865,13.975,15.277
-29507.1158,9.1158,378.289,1.89241,-1.0558,0.27842,-0.40561,0.38834,-1.28692,339.2176,554.1115112,11.674,15.225
-30768.8431,74.8934,366.14,5.11429,-1.22103,0.62483,-0.41239,0.38196,-1.42392,341.1902,582.737915,11.723,14.68
-18513.0209,-34.4463,111.471,1.65919,-0.78267,0.52291,-0.45084,0.42529,-0.78267,86.0902,256.6029358,12.256,16.072
-22534.9515,7.3747,240.324,0.0025002,0,-0.68148,-0.06419,0.06977,0,202.255,387.6643066,11.382,13.806
-20138.9434,-23.1078,158.543,0.00963258,0,1.40917,-0.17969,0.35263,-1.40916,200.0312,279.024231,11.826,18.956
